127.0.0.1 - - [22/Apr/2024:18:05:02 +0900] "GET / HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:03 +0900] "GET / HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:10 +0900] "POST /memb/login HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:11 +0900] "GET /brd/list HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:11 +0900] "GET /_fileUpload/_th_ HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:05:11 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:08:09 +0900] "GET /brd/detail?bno=2054 HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:08:09 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:08:09 +0900] "GET /cmt/list?bno=2054 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:29 +0900] "GET / HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:33 +0900] "POST /memb/login HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:34 +0900] "GET /brd/list HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:34 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:34 +0900] "GET /_fileUpload/_th_ HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:35 +0900] "GET /brd/detail?bno=2054 HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:35 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:35 +0900] "GET /cmt/list?bno=2054 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:37 +0900] "GET /brd/modify?bno=2054 HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:37 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:40 +0900] "GET /brd/detail?bno=2046 HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:40 +0900] "GET /_fileUpload/_th_ HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:15:40 +0900] "GET /cmt/list?bno=2046 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:16 +0900] "GET /brd/register HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:29 +0900] "POST /brd/insert HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:33 +0900] "GET /brd/list HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:33 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:33 +0900] "GET /_fileUpload/_th_ HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:33 +0900] "GET /_fileUpload/_th_1713777567223_common-6.jpeg HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:35 +0900] "GET /brd/detail?bno=2058 HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:35 +0900] "GET /cmt/list?bno=2058 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:35 +0900] "GET /_fileUpload/_th_1713777567223_common-6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:36 +0900] "GET /brd/delete?bno=2058 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:36 +0900] "GET /_fileUpload/_th_1713757413055_common-2.jpeg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [22/Apr/2024:18:19:36 +0900] "GET /_fileUpload/_th_ HTTP/1.1" 404 827
